date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:22	107/107	---M-Z	200	added ('OK')	text/plain	etag:%22e2e922ad33e10ddcde37bb6a884b317f%22	https://gregarious-heart-942036.framer.app/robots.txt		(from )
01:02:24	355490/355490	---M-Z	200	added ('OK')	text/html	etag:%226f914fc7c52e330048c2b7e54dc15b74%22	https://gregarious-heart-942036.framer.app/	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/index.html	(from )
01:02:26	522/522	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:20%20GMT	https://framerusercontent.com/images/zrxbUnciZ6a4vvv4OdDG9TaO2Fw.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/zrxbUnciZ6a4vvv4OdDG9TaO2Fw.png	(from https://gregarious-heart-942036.framer.app/)
01:02:26	145997/145997	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2019:19:21%20GMT	https://framerusercontent.com/images/wuO44kabE6LXfN6ycCHmFvrGvc.jpg	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/wuO44kabE6LXfN6ycCHmFvrGvc.jpg	(from https://gregarious-heart-942036.framer.app/)
01:02:28	338/338	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:31%20GMT	https://framerusercontent.com/images/73aAxwk0FImF1kzCA9lRANY8st0.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/73aAxwk0FImF1kzCA9lRANY8st0.png	(from https://gregarious-heart-942036.framer.app/)
01:02:28	217341/217341	---M-Z	200	added ('OK')	text/html	etag:%22778d432a8f4d69fa7848d3102d2f128b%22	https://gregarious-heart-942036.framer.app/projects	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/projects.html	(from https://gregarious-heart-942036.framer.app/)
01:02:30	191154/191154	---M-Z	200	added ('OK')	text/html	etag:%22f855624c3231b5ec3d97039e9aeb388c%22	https://gregarious-heart-942036.framer.app/skills	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/skills.html	(from https://gregarious-heart-942036.framer.app/)
01:02:30	11702/11702	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2019:19:38%20GMT	https://framerusercontent.com/images/qKXHAJcjC4d3XKhx76V7YIESKLw.jpg	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/qKXHAJcjC4d3XKhx76V7YIESKLw.jpg	(from https://gregarious-heart-942036.framer.app/)
01:02:30	933477/933477	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:36%20GMT	https://framerusercontent.com/images/4TmnzSyIaw7SzjhyoQ6DSoWlq0.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/4TmnzSyIaw7SzjhyoQ6DSoWlq0.png	(from https://gregarious-heart-942036.framer.app/)
01:02:31	4187/4187	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:39%20GMT	https://framerusercontent.com/images/KPScAvknjjCbLhdFMxVjzeIDZw.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/KPScAvknjjCbLhdFMxVjzeIDZw.png	(from https://gregarious-heart-942036.framer.app/)
01:02:31	1373/1373	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:40%20GMT	https://framerusercontent.com/images/sQi6VI2TpD8qfRrS1NpDp9ZHQ.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/sQi6VI2TpD8qfRrS1NpDp9ZHQ.png	(from https://gregarious-heart-942036.framer.app/)
01:02:31	7580/7580	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:40%20GMT	https://framerusercontent.com/images/4ITg6hUAzbRZsvrGe703mddZMM.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/4ITg6hUAzbRZsvrGe703mddZMM.png	(from https://gregarious-heart-942036.framer.app/)
01:02:33	242251/242251	---M-Z	200	added ('OK')	text/html	etag:%22cab4a33b20abda99cf564d0616a0fd46%22	https://gregarious-heart-942036.framer.app/blog/starting-a-career-in-web-design	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/blog/starting-a-career-in-web-design.html	(from https://gregarious-heart-942036.framer.app/)
01:02:34	54395/54395	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2019:19:43%20GMT	https://framerusercontent.com/images/35jaIgFG75znF5A6R6P9R03uJQ.jpg	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/35jaIgFG75znF5A6R6P9R03uJQ.jpg	(from https://gregarious-heart-942036.framer.app/)
01:02:35	242337/242337	---M-Z	200	added ('OK')	text/html	etag:%225ca2b3da200c38d36e0d3e07352bf7d3%22	https://gregarious-heart-942036.framer.app/blog/algo	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/blog/algo.html	(from https://gregarious-heart-942036.framer.app/)
01:02:35	240210/240210	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2019:19:46%20GMT	https://framerusercontent.com/images/iZ8xPHtDk00mRHUORtRJPzFpXTM.jpg	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/iZ8xPHtDk00mRHUORtRJPzFpXTM.jpg	(from https://gregarious-heart-942036.framer.app/)
01:02:38	242967/242967	---M-Z	200	added ('OK')	text/html	etag:%22c55b4363f37dab93fa19bf7d16f16ed8%22	https://gregarious-heart-942036.framer.app/blog/iot	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/blog/iot.html	(from https://gregarious-heart-942036.framer.app/)
01:02:38	265387/265387	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2019:19:48%20GMT	https://framerusercontent.com/images/VNWPiekG7BUTUdWZjJmABlmru4k.jpg	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/VNWPiekG7BUTUdWZjJmABlmru4k.jpg	(from https://gregarious-heart-942036.framer.app/)
01:02:40	240359/240359	---M-Z	200	added ('OK')	text/html	etag:%221d2699832747606a557ae5cd0e2fbad8%22	https://gregarious-heart-942036.framer.app/blog/building-a-navigation-component	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/blog/building-a-navigation-component.html	(from https://gregarious-heart-942036.framer.app/)
01:02:43	242584/242584	---M-Z	200	added ('OK')	text/html	etag:%2247bf82ed3d5ba1639a09ab933b5db632%22	https://gregarious-heart-942036.framer.app/blog/how-to-create-an-effective-design-portfolio	C:/Users/shasn/Downloads/Framer_final/gregarious-heart-942036.framer.app/blog/how-to-create-an-effective-design-portfolio.html	(from https://gregarious-heart-942036.framer.app/)
01:02:43	11185/11185	---MC-	200	added ('OK')	image/jpeg	date:Sat,%2024%20Feb%202024%2019:19:54%20GMT	https://framerusercontent.com/images/lI7Ca9oTlscaCvjXFzpkcOB7g.jpeg	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/lI7Ca9oTlscaCvjXFzpkcOB7g.jpg	(from https://gregarious-heart-942036.framer.app/)
01:02:43	30413/30413	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:28%20GMT	https://framerusercontent.com/images/gUqKjtPXrs4luMDPZVxSrs10QFo.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/gUqKjtPXrs4luMDPZVxSrs10QFo.png	(from https://gregarious-heart-942036.framer.app/)
01:02:43	97873/97873	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:19:57%20GMT	https://framerusercontent.com/images/Nb93ciYJmu2TPx6f5tKrii5OEQ.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/Nb93ciYJmu2TPx6f5tKrii5OEQ.png	(from https://gregarious-heart-942036.framer.app/projects)
01:02:45	522960/522960	---MC-	200	added ('OK')	image/png	date:Sat,%2024%20Feb%202024%2019:20:00%20GMT	https://framerusercontent.com/images/3nXdLV9HfJE6z1xzwCpACjejIEI.png	C:/Users/shasn/Downloads/Framer_final/framerusercontent.com/images/3nXdLV9HfJE6z1xzwCpACjejIEI.png	(from https://gregarious-heart-942036.framer.app/projects)
